PRODUCT,PREDICTION,DISTANCE
5000000,1,1.4014579129595934
5000000,1,1.4014579129595934
5000000,1,1.4014579129595934
5000000,1,1.4014579129595934
5000000,1,1.4096321842482022
5000000,1,1.4096321842482022
5000000,1,1.4096321842482022
5000000,1,1.4096321842482022
5000000,1,1.4096321842482022
5000000,1,1.4096321842482022
5000000,1,1.4096321842482022
5000000,1,1.4096321842482022
5000000,1,1.4096321842482022
5000000,1,1.4096321842482022
5000000,1,1.4096321842482022
5000000,1,1.4096321842482022
5000000,1,1.4096321842482022
5000000,1,1.4096321842482022
5000000,1,1.4096321842482022
5000000,1,1.4096321842482022
5000000,1,1.4159601022860322
5000000,1,1.4159601022860322
5000000,1,1.4159601022860322
5000000,1,1.4159601022860322
5000000,1,1.4159601022860322
5000000,1,1.4159601022860322
5000000,1,1.4159601022860322
5000000,1,1.4159601022860322
5000000,1,1.4159601022860322
5000000,1,1.4159601022860322
5000000,1,1.4159601022860322
5000000,1,1.4159601022860322
5000000,1,1.4159601022860322
5000000,1,1.4159601022860322
5000000,1,1.4159601022860322
5000000,1,1.4159601022860322
5000000,1,1.4159601022860322
5000000,1,1.4160172560274762
5000000,1,1.4160172560274762
5000000,1,1.4160172560274762
5000000,1,1.4160172560274762
5000000,1,1.4160172560274762
5000000,1,1.4160172560274762
5000000,1,1.4160172560274762
5000000,1,1.4160172560274762
5000000,1,1.4160172560274762
5000000,1,1.4160172560274762
5000000,1,1.4160172560274762
5000000,1,1.4160172560274762
5000000,1,1.4165512947252619
5000000,1,1.4165512947252619
5000000,1,1.4168275564355866
5000000,1,1.4168275564355866
5000000,1,1.4170002378480824
5000000,1,1.4170002378480824
5000000,1,1.4170002378480824
5000000,1,1.4170002378480824
5000000,1,1.4170002378480824
5000000,1,1.4170002378480824
5000000,1,1.4170002378480824
5000000,1,1.4170002378480824
5000000,1,1.4170002378480824
5000000,1,1.4170002378480824
5000000,1,1.4170002378480824
5000000,1,1.4435450004894637
5000000,1,1.4435450004894637
5000000,1,1.4435450004894637
5000000,1,1.4435450004894637
5000000,1,1.4435450004894637
5000000,1,1.4435450004894637
5000000,1,1.4435450004894637
5000000,1,1.4435450004894637
5000000,1,1.4435450004894637
5000054,1,1.4550565860554638
5000043,1,1.4581814743600954
5000043,1,1.4581814743600954
5000043,1,1.4581814743600954
5000043,1,1.4581814743600954
5000043,1,1.4581814743600954
5000043,1,1.4581814743600954
5000043,1,1.4581814743600954
5000043,1,1.4581814743600954
5000043,1,1.4581814743600954
5000043,1,1.4581814743600954
5000043,1,1.4587197816183965
5000043,1,1.4587197816183965
5000043,1,1.4587197816183965
5000043,1,1.4587197816183965
5000043,1,1.4587197816183965
5000043,1,1.4587197816183965
5000043,1,1.4587197816183965
5000043,1,1.4587197816183965
5000043,1,1.4587197816183965
5000043,1,1.4587197816183965
5000043,1,1.4587197816183965
5000043,1,1.4587197816183965
5000043,1,1.4587197816183965
5000152,1,1.4604520705261625
5000152,1,1.4604520705261625
5000152,1,1.4604520705261625
5000152,1,1.4604520705261625
5000152,1,1.4604520705261625
5000152,1,1.4604520705261625
5000152,1,1.4604520705261625
5000152,1,1.4604520705261625
5000152,1,1.4605813723402918
5000152,1,1.4605813723402918
5000152,1,1.4605813723402918
5000152,1,1.4605813723402918
5000152,1,1.4605813723402918
5000152,1,1.4605813723402918
5000152,1,1.4605813723402918
5000152,1,1.4605813723402918
5000152,1,1.4605816361602806
5000152,1,1.4605816361602806
5000152,1,1.4605816361602806
5000152,1,1.4605816361602806
5000152,1,1.4606649026272494
5000152,1,1.4606965073269347
5000152,1,1.4606965073269347
5000152,1,1.4606965073269347
5000152,1,1.4606965073269347
5000152,1,1.4606965073269347
5000152,1,1.4606965073269347
5000152,1,1.4606965073269347
5000152,1,1.4606965073269347
5000152,1,1.4606965073269347
5000152,1,1.4606965073269347
5000054,1,1.4610296327981291
5000054,1,1.4610296327981291
5000054,1,1.4610296327981291
5000054,1,1.4610296327981291
5000054,1,1.4610296327981291
5000054,1,1.4610296327981291
5000054,1,1.4610296327981291
5000054,1,1.4610296327981291
5000054,1,1.4610296327981291
5000054,1,1.4610296327981291
5000152,1,1.4611744947633
5000152,1,1.4611744947633
5000152,1,1.4611744947633
5000152,1,1.4611744947633
5000152,1,1.4611744947633
